Player,Year,Tm,G,PTS,TRB,AST
James Johnson,2015.0,TOR,70.0,554.0,257.0,95.0
Joe Johnson,2015.0,BRK,80.0,1154.0,384.0,292.0
Nick Johnson,2015.0,HOU,28.0,74.0,39.0,11.0
Tyler Johnson,2015.0,MIA,32.0,190.0,81.0,42.0
Wesley Johnson,2015.0,LAL,76.0,753.0,319.0,124.0
Dahntay Jones,2015.0,LAC,33.0,21.0,11.0,2.0
James Jones,2015.0,CLE,57.0,250.0,62.0,24.0
Perry Jones,2015.0,OKC,43.0,184.0,76.0,18.0
Terrence Jones,2015.0,HOU,33.0,386.0,220.0,36.0
DeAndre Jordan,2015.0,LAC,82.0,946.0,1226.0,61.0
Jerome Jordan,2015.0,BRK,44.0,138.0,105.0,13.0
Cory Joseph,2015.0,SAS,79.0,535.0,192.0,188.0
Chris Kaman,2015.0,POR,74.0,638.0,484.0,65.0
Enes Kanter,2015.0,UTA,49.0,678.0,384.0,26.0
Sergey Karasev,2015.0,BRK,33.0,153.0,66.0,46.0
Ryan Kelly,2015.0,LAL,52.0,332.0,146.0,92.0
Michael Kidd-Gilchrist,2015.0,CHO,55.0,598.0,416.0,77.0
Sean Kilpatrick,2015.0,MIN,4.0,22.0,6.0,4.0
Andrei Kirilenko,2015.0,BRK,7.0,3.0,8.0,1.0
Alex Kirk,2015.0,CLE,5.0,4.0,1.0,1.0
Brandon Knight,2015.0,MIL,52.0,923.0,221.0,281.0
Kyle Korver,2015.0,ATL,75.0,911.0,304.0,196.0
Kosta Koufos,2015.0,MEM,81.0,419.0,426.0,37.0
Ognjen Kuzmic,2015.0,GSW,16.0,20.0,17.0,6.0
Jeremy Lamb,2015.0,OKC,47.0,295.0,107.0,44.0
Carl Landry,2015.0,SAC,70.0,503.0,268.0,26.0
Shane Larkin,2015.0,NYK,76.0,470.0,176.0,226.0
Joffrey Lauvergne,2015.0,DEN,24.0,93.0,77.0,13.0
Zach LaVine,2015.0,MIN,77.0,778.0,214.0,276.0
Ty Lawson,2015.0,DEN,75.0,1143.0,234.0,720.0
Ricky Ledo,2015.0,DAL,5.0,1.0,2.0,1.0
Courtney Lee,2015.0,MEM,77.0,777.0,178.0,151.0
David Lee,2015.0,GSW,49.0,388.0,257.0,85.0
Malcolm Lee,2015.0,PHI,1.0,0.0,0.0,0.0
Alex Len,2015.0,PHO,69.0,432.0,454.0,32.0
Kawhi Leonard,2015.0,SAS,64.0,1057.0,461.0,161.0
Meyers Leonard,2015.0,POR,55.0,327.0,250.0,32.0
Jon Leuer,2015.0,MEM,63.0,286.0,207.0,46.0
Damian Lillard,2015.0,POR,82.0,1720.0,378.0,507.0
Jeremy Lin,2015.0,LAL,74.0,832.0,196.0,339.0
Shaun Livingston,2015.0,GSW,78.0,461.0,183.0,259.0
Brook Lopez,2015.0,BRK,72.0,1236.0,535.0,50.0
Robin Lopez,2015.0,POR,59.0,566.0,394.0,55.0
Kevin Love,2015.0,CLE,75.0,1228.0,731.0,168.0
Kyle Lowry,2015.0,TOR,70.0,1244.0,328.0,473.0
Kalin Lucas,2015.0,MEM,1.0,0.0,0.0,0.0
John Lucas,2015.0,DET,21.0,98.0,16.0,60.0
Shelvin Mack,2015.0,ATL,55.0,299.0,79.0,155.0
Ian Mahinmi,2015.0,IND,61.0,265.0,356.0,33.0
Devyn Marble,2015.0,ORL,16.0,37.0,31.0,17.0
Shawn Marion,2015.0,CLE,57.0,276.0,202.0,51.0
Kendall Marshall,2015.0,MIL,28.0,118.0,28.0,86.0
Cartier Martin,2015.0,DET,23.0,36.0,20.0,11.0
Kenyon Martin,2015.0,MIL,11.0,20.0,19.0,5.0
Kevin Martin,2015.0,MIN,39.0,779.0,142.0,89.0
Wesley Matthews,2015.0,POR,60.0,956.0,222.0,139.0
Jason Maxiell,2015.0,CHO,61.0,203.0,203.0,19.0
O.J. Mayo,2015.0,MIL,71.0,806.0,187.0,197.0
Luc Mbah,2015.0,PHI,67.0,660.0,328.0,106.0
James Michael,2015.0,GSW,15.0,62.0,37.0,2.0
Ray McCallum,2015.0,SAC,68.0,503.0,180.0,188.0
C.J. McCollum,2015.0,POR,62.0,424.0,91.0,64.0
K.J. McDaniels,2015.0,PHI,52.0,476.0,195.0,70.0
Doug McDermott,2015.0,CHI,36.0,109.0,43.0,6.0
Mitch McGary,2015.0,OKC,32.0,201.0,165.0,14.0
JaVale McGee,2015.0,DEN,17.0,88.0,48.0,1.0
Ben McLemore,2015.0,SAC,82.0,996.0,241.0,140.0
Jerel McNeal,2015.0,PHO,6.0,9.0,3.0,2.0
Josh McRoberts,2015.0,MIA,17.0,72.0,45.0,33.0
Jodie Meeks,2015.0,DET,60.0,663.0,104.0,79.0
Gal Mekel,2015.0,NOP,4.0,6.0,1.0,13.0
Khris Middleton,2015.0,MIL,79.0,1055.0,347.0,182.0
C.J. Miles,2015.0,IND,70.0,942.0,214.0,75.0
Andre Miller,2015.0,WAS,51.0,183.0,77.0,143.0
Darius Miller,2015.0,NOP,5.0,2.0,1.0,2.0
Mike Miller,2015.0,CLE,52.0,109.0,91.0,46.0
Quincy Miller,2015.0,SAC,6.0,17.0,12.0,3.0
Patty Mills,2015.0,SAS,51.0,351.0,75.0,87.0
Elijah Millsap,2015.0,UTA,47.0,248.0,150.0,58.0
Paul Millsap,2015.0,ATL,73.0,1218.0,570.0,223.0
Nikola Mirotic,2015.0,CHI,82.0,833.0,404.0,97.0
Nazr Mohammed,2015.0,CHI,23.0,27.0,38.0,3.0
Greg Monroe,2015.0,DET,69.0,1098.0,704.0,142.0
E'Twaun Moore,2015.0,CHI,56.0,149.0,46.0,33.0
Eric Moreland,2015.0,SAC,3.0,2.0,1.0,0.0
Darius Morris,2015.0,BRK,38.0,83.0,27.0,48.0
Marcus Morris,2015.0,PHO,81.0,845.0,385.0,133.0
Markieff Morris,2015.0,PHO,82.0,1258.0,506.0,192.0
Anthony Morrow,2015.0,OKC,74.0,790.0,195.0,60.0
Donatas Motiejunas,2015.0,HOU,71.0,855.0,421.0,130.0
Timofey Mozgov,2015.0,DEN,35.0,299.0,272.0,16.0
Shabazz Muhammad,2015.0,MIN,38.0,512.0,154.0,44.0
Toure' Murry,2015.0,UTA,1.0,0.0,0.0,0.0
Mike Muscala,2015.0,ATL,40.0,197.0,119.0,25.0
Shabazz Napier,2015.0,MIA,51.0,261.0,113.0,130.0
Gary Neal,2015.0,CHO,43.0,413.0,94.0,80.0
Jameer Nelson,2015.0,DAL,23.0,167.0,63.0,95.0
Andrew Nicholson,2015.0,ORL,40.0,194.0,82.0,22.0
Joakim Noah,2015.0,CHI,67.0,485.0,646.0,312.0
Nerlens Noel,2015.0,PHI,75.0,744.0,611.0,128.0
Lucas Nogueira,2015.0,TOR,6.0,6.0,11.0,1.0
Steve Novak,2015.0,UTA,22.0,48.0,16.0,6.0
Dirk Nowitzki,2015.0,DAL,77.0,1333.0,457.0,143.0
Jusuf Nurkic,2015.0,DEN,62.0,426.0,382.0,50.0
Johnny O'Bryant,2015.0,MIL,34.0,100.0,64.0,17.0
Kyle O'Quinn,2015.0,ORL,51.0,294.0,199.0,59.0
Victor Oladipo,2015.0,ORL,72.0,1292.0,302.0,295.0
Kelly Olynyk,2015.0,BOS,64.0,656.0,303.0,109.0
Arinze Onuaku,2015.0,MIN,6.0,27.0,21.0,4.0
Zaza Pachulia,2015.0,MIL,73.0,606.0,500.0,178.0
Kostas Papanikolaou,2015.0,HOU,43.0,182.0,118.0,85.0
Jannero Pargo,2015.0,CHO,9.0,41.0,3.0,8.0
Jabari Parker,2015.0,MIL,25.0,308.0,138.0,42.0
Tony Parker,2015.0,SAS,68.0,976.0,129.0,335.0
Chandler Parsons,2015.0,DAL,66.0,1037.0,323.0,161.0
Patrick Patterson,2015.0,TOR,81.0,648.0,433.0,155.0
Chris Paul,2015.0,LAC,82.0,1564.0,376.0,838.0
Adreian Payne,2015.0,ATL,3.0,5.0,4.0,0.0
Elfrid Payton,2015.0,ORL,82.0,731.0,349.0,533.0
Nikola Pekovic,2015.0,MIN,31.0,386.0,234.0,27.0
Kendrick Perkins,2015.0,OKC,51.0,202.0,279.0,43.0
Paul Pierce,2015.0,WAS,73.0,868.0,294.0,144.0
Mason Plumlee,2015.0,BRK,82.0,717.0,512.0,74.0
Miles Plumlee,2015.0,PHO,54.0,233.0,274.0,27.0
Quincy Pondexter,2015.0,MEM,30.0,134.0,57.0,28.0
Otto Porter,2015.0,WAS,74.0,445.0,221.0,65.0
Dwight Powell,2015.0,BOS,5.0,9.0,1.0,0.0
Phil Pressey,2015.0,BOS,50.0,177.0,80.0,117.0
A.J. Price,2015.0,IND,10.0,105.0,14.0,27.0
Ronnie Price,2015.0,LAL,43.0,221.0,69.0,165.0
Pablo Prigioni,2015.0,NYK,43.0,201.0,80.0,104.0
Tayshaun Prince,2015.0,MEM,26.0,190.0,83.0,37.0
Miroslav Raduljica,2015.0,MIN,5.0,8.0,5.0,0.0
Julius Randle,2015.0,LAL,1.0,2.0,0.0,0.0
